relationship_id,source_id,source,relationship,target_id,target,evidence,period,evidence_summary,basis,follow_up,source_url
,TL-WOM-007,Peterloo Massacre: pro-democracy rally advocating parliamentary reform,took part in,200001,Mary Fildes,On the record,,,"Key figures column for 16 August 1819: Mary Fildes (President, Manchester Female Reform Society)",,VictorianManchester_KeyPeople.xlsx(1).pdf
,TL-WOM-007,Peterloo Massacre: pro-democracy rally advocating parliamentary reform,happened at,PL-BASE-062,Refuge Assurance Building (PL-BASE-062),On the record,,,Place column for 16 August 1819: St. Peter's Field (now St. Peter's Square),,VictorianManchester_KeyPeople.xlsx(1).pdf
,TL-WOM-008,Formation of the Female Political Union of the Working Classes,took part in,200001,Mary Fildes,On the record,,,Key figures column for 1833: Mary Fildes,,VictorianManchester_KeyPeople.xlsx(1).pdf
,TL-WOM-008,Formation of the Female Political Union of the Working Classes,took part in,GH-BROADHURST,Mrs Broadhurst,On the record,,,Key figures column for 1833: Mrs Broadhurst,,VictorianManchester_KeyPeople.xlsx(1).pdf
,TL-WOM-009,Inauguration of the Manchester Schoolmistresses Association,took part in,GH-WOLSTENHOLME,Elizabeth Wolstenholme Elmy,On the record,,,Key figures column for 2 December 1865: Elizabeth Wolstenholme (Founder),,VictorianManchester_KeyPeople.xlsx(1).pdf
,TL-WOM-009,Inauguration of the Manchester Schoolmistresses Association,took part in,GH-ACLOUGH,Anne Jemima Clough,On the record,,,Key figures column for 2 December 1865: Anne Clough (Honorary Member),,VictorianManchester_KeyPeople.xlsx(1).pdf
,TL-WOM-010,Emily Davies addresses the Manchester Schoolmistresses Board on women's higher education,took part in,GH-DAVIES,Emily Davies,On the record,,,Key figures column for October 1866: Emily Davies,,VictorianManchester_KeyPeople.xlsx(1).pdf
,TL-WOM-011,Emmeline Pankhurst elected as Poor Law Guardian for Chorlton-on-Medlock,took part in,200021,Emmeline Pankhurst,On the record,,,Key figures column for 1894: Emmeline Pankhurst,,VictorianManchester_KeyPeople.xlsx(1).pdf
,TL-WOM-011,Emmeline Pankhurst elected as Poor Law Guardian for Chorlton-on-Medlock,happened at,PL-BASE-010,Salford Workhouse,On the record,,,Place column for 1894: Manchester Workhouse,,VictorianManchester_KeyPeople.xlsx(1).pdf
,TL-WOM-012,Formation of the Manchester and Salford Women's Trades Council (TL-WOM-012),took part in,GH-DICKENSON,Sarah Dickenson,On the record,,,Key figures column for 1895: Sarah Dickenson,,VictorianManchester_KeyPeople.xlsx(1).pdf
